Ano,TipoCrimeN1,TipoCrimeN2,TipoCrimeN3,EscalaoEtario
2022,(CP) Contra as pessoas,Contra a vida,Homicídio voluntário consumado,Até 24 anos
2022,(CP) Contra as pessoas,Contra a vida,Homicídio voluntário consumado,Menos de 16 anos
2022,(CP) Contra as pessoas,Contra a vida,Homicídio voluntário consumado,16 a 24 anos
2022,(CP) Contra as pessoas,Contra a vida,Homicídio voluntário consumado,25 e mais anos
2022,(CP) Contra as pessoas,Contra a vida,Homicídio negl. acidente viação,Até 24 anos
2022,(CP) Contra as pessoas,Contra a vida,Homicídio negl. acidente viação,Menos de 16 anos
2022,(CP) Contra as pessoas,Contra a vida,Homicídio negl. acidente viação,16 a 24 anos
2022,(CP) Contra as pessoas,Contra a vida,Homicídio negl. acidente viação,25 e mais anos
2022,(CP) Contra as pessoas,Contra a vida,Homicídio negl. outras circunstâncias,Até 24 anos
2022,(CP) Contra as pessoas,Contra a vida,Homicídio negl. outras circunstâncias,Menos de 16 anos
2022,(CP) Contra as pessoas,Contra a vida,Homicídio negl. outras circunstâncias,16 a 24 anos
2022,(CP) Contra as pessoas,Contra a vida,Homicídio negl. outras circunstâncias,25 e mais anos
2022,(CP) Contra as pessoas,Contra a vida,Aborto,Até 24 anos
2022,(CP) Contra as pessoas,Contra a vida,Aborto,Menos de 16 anos
2022,(CP) Contra as pessoas,Contra a vida,Aborto,16 a 24 anos
2022,(CP) Contra as pessoas,Contra a vida,Aborto,25 e mais anos
2022,(CP) Contra as pessoas,Contra a vida,Outros contra a vida,Até 24 anos
2022,(CP) Contra as pessoas,Contra a vida,Outros contra a vida,Menos de 16 anos
2022,(CP) Contra as pessoas,Contra a vida,Outros contra a vida,16 a 24 anos
2022,(CP) Contra as pessoas,Contra a vida,Outros contra a vida,25 e mais anos
2022,(CP) Contra as pessoas,Contra a integridade física,Of. int. física vol. grave,Até 24 anos
2022,(CP) Contra as pessoas,Contra a integridade física,Of. int. física vol. grave,Menos de 16 anos
2022,(CP) Contra as pessoas,Contra a integridade física,Of. int. física vol. grave,16 a 24 anos
2022,(CP) Contra as pessoas,Contra a integridade física,Of. int. física vol. grave,25 e mais anos
2022,(CP) Contra as pessoas,Contra a integridade física,Of. int. física vol. simples,Até 24 anos
2022,(CP) Contra as pessoas,Contra a integridade física,Of. int. física vol. simples,Menos de 16 anos
2022,(CP) Contra as pessoas,Contra a integridade física,Of. int. física vol. simples,16 a 24 anos
2022,(CP) Contra as pessoas,Contra a integridade física,Of. int. física vol. simples,25 e mais anos
2022,(CP) Contra as pessoas,Contra a integridade física,Of. int. física negl. acidente viação,Até 24 anos
2022,(CP) Contra as pessoas,Contra a integridade física,Of. int. física negl. acidente viação,Menos de 16 anos
2022,(CP) Contra as pessoas,Contra a integridade física,Of. int. física negl. acidente viação,16 a 24 anos
